academic_confidence,ambiguity_flag,career_priorities,constraints,curriculum_type,dataset_version,expected_prodi,free_text_goal_keywords,interest_deep_dive,interests,prodi_to_avoid,quality_flag,sample_id,score_advanced_math,score_anthropology,score_arts,score_bahasa,score_biology,score_chemistry,score_civics,score_economics,score_english,score_foreign_language,score_geography,score_history,score_indonesian,score_informatics,score_kesehatan,score_math,score_olahraga,score_paling_banyak_1_mata_pelajaran_pendukung_yang_relevan_dengan_program_studi_kependidikannya,score_pattern,score_pendidikan_jasmani,score_physics,score_pjok,score_religion,score_sastra_inggris,score_sociology,sma_track,source_type,target_cluster,target_kelompok_prodi,target_prodi,target_prodi_id,work_style
language/writing,False,helping people|public service,practical/project-heavy,K13 IPS,apti_dataset_v2,,Legal Officer Advocate,engineering|hands_on|social_law|technology_digital|writing_reading,Engineering|Law|Technology,none,standard,S03954,62,75,77,,79,74,81,69,80,80,74,,72,73,,80,,,several strong subjects,,67,65,77,,,Merdeka,synthetic_v2,Ilmu Terapan,Hukum,Hukum Ekonomi Syariah,P0394,teamwork
social/human,False,high salary potential|helping people,lab-heavy,K13 IPS,apti_dataset_v2,,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Engineering|Technology,none,standard,S03955,65,66,71,,66,76,85,79,69,80,74,,83,73,,79,,,several strong subjects,,80,66,72,,74,IPS,synthetic_v2,Ilmu Terapan,Ilmu atau Sains Militer,Ilmu Militer,P0397,field work
science/lab,False,helping people|research/innovation,theory-heavy,K13 IPS,apti_dataset_v2,,Data Analyst Quantitative Analyst,data_ai|numbers_logic|technology_digital,Technology,none,balanced_high,S03956,87,,85,,90,,88,77,79,86,72,86,95,86,,72,,,several strong subjects,,82,90,68,,88,IPS,synthetic_v2,Ilmu Formal,Matematika,Statistika Terapan,P0147,teamwork
language/writing,False,stable career|public service,field-heavy,K13 IPA,apti_dataset_v2,Bisnis Digital,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Engineering|Technology,none,standard,S03957,84,70,72,,,73,75,80,75,75,62,,70,75,,68,,,several strong subjects,,,66,71,,72,Bahasa,synthetic_v2,Ilmu Terapan,Bisnis,Bisnis Digital,P0222,lab work
social/human,False,remote/digital work|research/innovation,lab-heavy,Kurikulum Merdeka,apti_dataset_v2,,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Engineering|Technology,none,standard,S03958,76,84,86,,72,77,67,,78,,72,83,81,,,68,,,several strong subjects,,81,76,83,,90,Bahasa,synthetic_v2,Ilmu Terapan,Kesehatan Masyarakat,Kesehatan Reproduksi,P0366,research-focused
numbers/calculation,False,remote/digital work|high salary potential,field-heavy,K13 IPS,apti_dataset_v2,,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Engineering|Technology,none,standard,S03959,87,73,83,,,100,80,82,63,79,,,77,89,,86,,,several strong subjects,,75,86,89,,76,IPS,synthetic_v2,Ilmu Terapan,Ilmu atau Sains Veteriner,Kedokteran Hewan,P0349,teamwork
balanced,False,high salary potential|helping people,lab-heavy,K13 IPA,apti_dataset_v2,,Data Analyst Quantitative Analyst,data_ai|numbers_logic|technology_digital,Technology,none,standard,S03960,66,73,73,,81,75,92,72,86,68,75,81,75,,,79,,,several strong subjects,,,69,78,,84,Merdeka,synthetic_v2,Ilmu Formal,Logika,Logika,P0138,lab work
science/lab,True,high salary potential|helping people,lab-heavy,Kurikulum Merdeka,apti_dataset_v2,,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Design|Engineering|Technology,none,focused_average,S03961,83,73,72,,66,83,71,,65,81,,67,73,76,,70,,,balanced,,79,85,79,,74,Merdeka,synthetic_v2,Ilmu Terapan,Urusan Publik,Administrasi Pemerintahan Daerah,P0406,independent
science/lab,False,remote/digital work|public service,practical/project-heavy,K13 IPA,apti_dataset_v2,,Analyst Public Officer,communication_media|education|social_law_public,Media,none,standard,S03962,68,61,91,,,81,82,81,65,82,,78,84,79,,75,,,several strong subjects,,72,87,76,,69,Merdeka,synthetic_v2,Ilmu Sosial,Pertahanan,Ekonomi Pertahanan,P0079,lab work
creative/art,False,remote/digital work|high salary potential,lab-heavy,K13 IPS,apti_dataset_v2,,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Engineering|Technology,none,standard,S03963,67,60,65,,,,82,87,68,75,,69,90,75,,67,,,several strong subjects,,83,62,67,,71,Bahasa,synthetic_v2,Ilmu Terapan,Bisnis,Bisnis,P0221,field work
creative/art,True,public service|remote/digital work,balanced,K13 Bahasa,apti_dataset_v2,,Research Assistant Lab Analyst,environment_field|health_life_science|research_analysis,Environment|Health|Social|Technology,none,standard,S03964,82,62,73,,90,,65,80,75,77,72,72,82,74,,71,,,balanced,,79,70,77,,68,Merdeka,synthetic_v2,Ilmu Alam,Biologi,Biologi Terapan,P0104,lab work
balanced,False,stable career|public service,practical/project-heavy,K13 Bahasa,apti_dataset_v2,,Data Analyst Quantitative Analyst,data_ai|numbers_logic|technology_digital,Technology,none,standard,S03965,,,71,,66,75,82,77,70,58,70,81,62,,,82,,,several strong subjects,,72,77,72,,73,IPS,synthetic_v2,Ilmu Formal,Komputer,Teknologi Game,P0132,lab work
balanced,False,remote/digital work|helping people,field-heavy,K13 IPS,apti_dataset_v2,,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Engineering|Technology,none,standard,S03966,73,80,91,,80,,76,70,68,81,,89,70,76,,89,,,several strong subjects,,93,81,64,,73,Merdeka,synthetic_v2,Ilmu Terapan,Arsitektur,Arsitektur Lanskap,P0174,research-focused
language/writing,False,research/innovation|helping people,balanced,Kurikulum Merdeka,apti_dataset_v2,Aqidah dan Filsafat Islam,Researcher Writer,communication_media|creative_design|language_culture,Design|Language|Media,none,standard,S03967,76,74,65,,69,,67,68,82,69,74,,59,74,,62,,,several strong subjects,,75,76,72,,77,IPS,synthetic_v2,Humaniora,Filsafat,Aqidah dan Filsafat Islam,P0056,independent
creative/art,False,high salary potential|remote/digital work,lab-heavy,K13 Bahasa,apti_dataset_v2,,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Engineering|Technology,none,standard,S03968,66,69,66,,75,64,77,,51,62,,69,75,57,,78,,,several strong subjects,,68,71,71,,75,IPS,synthetic_v2,Ilmu Terapan,Logistik,Logistik,P0212,research-focused
numbers/calculation,False,high salary potential|public service,field-heavy,K13 IPS,apti_dataset_v2,Astronomi,Research Assistant Lab Analyst,environment_field|health_life_science|research_analysis,Environment|Health,none,standard,S03969,72,78,82,,,,96,76,85,83,87,,92,90,,75,,,several strong subjects,,,99,76,,82,Merdeka,synthetic_v2,Ilmu Alam,Astronomi,Astronomi,P0117,independent
language/writing,False,remote/digital work|public service,lab-heavy,K13 Bahasa,apti_dataset_v2,,Research Assistant Lab Analyst,environment_field|health_life_science|research_analysis,Environment|Health,none,focused_average,S03970,66,67,88,,82,81,77,69,75,80,64,81,71,69,,77,,,several strong subjects,,74,77,76,,69,IPS,synthetic_v2,Ilmu Alam,Ilmu atau Sains Kebumian,Geofisika,P0092,lab work
creative/art,False,helping people|research/innovation,field-heavy,Kurikulum Merdeka,apti_dataset_v2,,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Engineering|Technology,none,standard,S03971,70,73,78,,68,66,67,75,85,54,,,81,56,,56,,,several strong subjects,,66,68,69,,74,IPS,synthetic_v2,Ilmu Terapan,Perencanaan Wilayah,Perencanaan Kota,P0178,research-focused
language/writing,True,remote/digital work|high salary potential,theory-heavy,K13 IPS,apti_dataset_v2,,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Education|Engineering|Technology,none,standard,S03972,80,80,79,,73,78,88,83,79,94,81,84,85,74,,85,,,balanced,,75,83,83,,73,IPA,synthetic_v2,Ilmu Terapan,Transportasi,Keselamatan Transportasi Jalan,P0436,research-focused
numbers/calculation,False,research/innovation|public service,balanced,K13 IPA,apti_dataset_v2,,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Engineering|Technology,none,standard,S03973,71,68,81,,,78,69,64,83,78,78,72,78,76,,82,,,several strong subjects,,82,81,73,,,IPA,synthetic_v2,Ilmu Terapan,Peternakan,Sosial Ekonomi Peternakan,P0166,independent
balanced,False,remote/digital work|high salary potential,balanced,K13 IPS,apti_dataset_v2,,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Engineering|Technology,none,standard,S03974,,87,80,,95,83,82,83,88,84,87,85,86,78,,78,,,several strong subjects,,94,78,83,,,IPA,synthetic_v2,Ilmu Terapan,Kebidanan,Kebidanan,P0367,independent
social/human,True,public service|research/innovation,practical/project-heavy,Kurikulum Merdeka,apti_dataset_v2,,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Business|Design|Engineering|Technology,none,standard,S03975,84,86,68,,76,,75,80,73,90,81,77,69,67,,61,,,balanced,,,71,71,,,Bahasa,synthetic_v2,Ilmu Terapan,Ilmu atau Sains Militer,Ilmu Militer,P0397,research-focused
social/human,False,high salary potential|public service,practical/project-heavy,K13 IPS,apti_dataset_v2,,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Engineering|Technology,none,standard,S03976,,,83,,75,77,79,70,78,,,82,81,86,,84,,,several strong subjects,,74,83,79,,,IPS,synthetic_v2,Ilmu Terapan,Kesehatan Masyarakat,Epidemiologi,P0361,research-focused
numbers/calculation,False,remote/digital work|public service,balanced,K13 IPA,apti_dataset_v2,Administrasi Perkantoran,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Engineering|Technology,none,focused_average,S03977,79,66,76,,70,77,77,94,76,,73,67,74,60,,79,,,several strong subjects,,,61,74,,78,Bahasa,synthetic_v2,Ilmu Terapan,Administrasi Bisnis,Administrasi Perkantoran,P0219,teamwork
language/writing,False,stable career|research/innovation,balanced,Kurikulum Merdeka,apti_dataset_v2,,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Engineering|Technology,none,standard,S03978,89,85,78,,86,82,82,92,84,82,87,94,80,,,100,,,several strong subjects,,83,81,80,,80,Bahasa,synthetic_v2,Ilmu Terapan,Perencanaan Wilayah,Pembangunan Wilayah,P0179,teamwork
science/lab,True,stable career|remote/digital work,lab-heavy,K13 IPS,apti_dataset_v2,,Designer Creative Director,creative_design|engineering|hands_on|technology_digital|visual_design,Design|Engineering|Social|Technology,none,focused_average,S03979,91,,76,,74,68,66,76,74,,84,64,74,,,98,,,balanced,,71,83,69,,74,Merdeka,synthetic_v2,Ilmu Terapan,Desain,Tata Rias,P0190,field work
science/lab,False,research/innovation|remote/digital work,lab-heavy,K13 Bahasa,apti_dataset_v2,,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Engineering|Technology,none,standard,S03980,93,85,87,,98,,98,,76,87,71,85,75,,,79,,,several strong subjects,,79,81,71,,,Merdeka,synthetic_v2,Ilmu Terapan,Kesehatan Masyarakat,Keselamatan dan Kesehatan Kerja,P0362,lab work
numbers/calculation,True,public service|helping people,theory-heavy,Kurikulum Merdeka,apti_dataset_v2,Olahraga Rekreasi,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Business|Education|Engineering|Technology,none,balanced_high,S03981,96,87,82,,98,92,91,90,77,85,92,68,94,77,76,78,84,,balanced,95,95,93,89,,88,Bahasa,synthetic_v2,Ilmu Terapan,Ilmu atau Sains Keolahragaan,Olahraga Rekreasi,P0413,independent
science/lab,True,helping people|stable career,balanced,Kurikulum Merdeka,apti_dataset_v2,,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Business|Engineering|Technology,none,standard,S03982,69,73,79,,87,73,92,,84,85,92,,93,83,,88,,,balanced,,89,78,92,,91,Bahasa,synthetic_v2,Ilmu Terapan,Ilmu atau Sains Militer,Ilmu Militer,P0397,lab work
language/writing,False,remote/digital work|public service,lab-heavy,Kurikulum Merdeka,apti_dataset_v2,,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Engineering|Technology,none,standard,S03983,85,82,78,,97,82,81,89,88,72,100,84,81,82,,89,,,several strong subjects,,85,81,68,,,Bahasa,synthetic_v2,Ilmu Terapan,Logistik,Ketatalaksanaan Pelayaran Niaga,P0217,independent
creative/art,True,high salary potential|helping people,balanced,Kurikulum Merdeka,apti_dataset_v2,,Software Engineer Backend Developer,engineering|hands_on|tech_software|technology_digital,Business|Design|Engineering|Technology,none,standard,S03984,70,57,57,,86,53,69,,58,65,75,71,59,79,,76,,,balanced,,76,66,67,,74,Merdeka,synthetic_v2,Ilmu Terapan,"Bioteknologi, Biokewirausahaan, Bioinformatika",Bioteknologi Kesehatan,P0446,research-focused
creative/art,False,remote/digital work|helping people,lab-heavy,K13 IPS,apti_dataset_v2,,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Engineering|Technology,none,focused_average,S03985,76,80,77,,90,77,75,71,70,68,85,75,81,75,,77,,,several strong subjects,,81,73,71,,72,Merdeka,synthetic_v2,Ilmu Terapan,Kesehatan Masyarakat,Kesehatan Reproduksi,P0366,field work
science/lab,False,public service|research/innovation,lab-heavy,Kurikulum Merdeka,apti_dataset_v2,,Teacher Curriculum Developer,education_teaching|engineering|hands_on|helping_people|technology_digital,Education|Engineering|Technology,none,standard,S03986,82,75,88,,,78,74,80,70,72,75,84,88,71,89,72,91,,several strong subjects,89,86,87,88,,88,IPA,synthetic_v2,Ilmu Terapan,Ilmu atau Sains Keolahragaan,Pendidikan Jasmani Kesehatan dan Rekreasi,P0410,research-focused
creative/art,False,helping people|stable career,practical/project-heavy,K13 Bahasa,apti_dataset_v2,,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Engineering|Technology,none,standard,S03987,77,,76,,68,74,86,72,68,,63,70,67,75,,78,,,several strong subjects,,,85,61,,68,IPS,synthetic_v2,Ilmu Terapan,Studi Humanitas,Misiologi,P0486,research-focused
language/writing,False,helping people|public service,lab-heavy,K13 IPA,apti_dataset_v2,Big Data Analytics,Data Scientist Data Analyst,business_finance|engineering|hands_on|tech_ai_data|technology_digital,Business|Data / AI|Engineering|Technology,none,focused_average,S03988,87,76,75,,66,63,74,81,75,73,72,83,80,75,,90,,,several strong subjects,,79,82,80,,80,IPS,synthetic_v2,Ilmu Terapan,Sains Data,Big Data Analytics,P0474,field work
social/human,False,high salary potential|research/innovation,practical/project-heavy,Kurikulum Merdeka,apti_dataset_v2,,Data Analyst Quantitative Analyst,data_ai|numbers_logic|technology_digital,Technology,none,standard,S03989,85,,77,,59,,82,,65,,69,69,61,63,,82,,,several strong subjects,,52,86,72,,61,Merdeka,synthetic_v2,Ilmu Formal,Matematika,Matematika Industri,P0143,field work
science/lab,False,helping people|public service,lab-heavy,Kurikulum Merdeka,apti_dataset_v2,Geografi,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Engineering|Technology,none,standard,S03990,,86,81,,,78,85,,85,61,91,,80,90,,83,,,several strong subjects,,83,78,78,,71,Bahasa,synthetic_v2,Ilmu Terapan,"Geografi, Geografi Lingkungan, Sains Informasi Geografi",Geografi,P0449,independent
social/human,False,high salary potential|public service,theory-heavy,K13 IPA,apti_dataset_v2,,Teacher Curriculum Developer,education_teaching|engineering|hands_on|helping_people|technology_digital,Education|Engineering|Technology,none,standard,S03991,66,76,66,,74,68,81,91,78,78,84,57,83,81,,70,,,several strong subjects,,76,70,71,,76,IPS,synthetic_v2,Ilmu Terapan,Ilmu atau Sains Manajemen,Manajemen Pendidikan,P0210,field work
balanced,False,high salary potential|research/innovation,practical/project-heavy,K13 IPA,apti_dataset_v2,Hukum Tata Negara,Legal Officer Advocate,engineering|hands_on|social_law|technology_digital|writing_reading,Engineering|Law|Technology,none,standard,S03992,66,66,75,,68,63,80,61,65,,52,72,68,77,,68,,,several strong subjects,,68,54,62,,84,Bahasa,synthetic_v2,Ilmu Terapan,Hukum,Hukum Tata Negara,P0392,research-focused
science/lab,False,research/innovation|remote/digital work,practical/project-heavy,Kurikulum Merdeka,apti_dataset_v2,,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Engineering|Technology,none,focused_average,S03993,,64,75,,84,57,86,85,69,,78,76,75,76,,83,,,several strong subjects,,92,94,72,,62,IPS,synthetic_v2,Ilmu Terapan,Perencanaan Wilayah,Pembangunan Wilayah,P0179,field work
social/human,True,helping people|research/innovation,field-heavy,Kurikulum Merdeka,apti_dataset_v2,,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Business|Engineering|Social|Technology,none,balanced_high,S03994,,97,76,,,87,94,97,91,93,83,72,81,81,,91,,,balanced,,87,100,78,,90,Merdeka,synthetic_v2,Ilmu Terapan,Transportasi,Manajemen Transportasi,P0431,independent
social/human,False,public service|remote/digital work,practical/project-heavy,K13 Bahasa,apti_dataset_v2,Ketatalaksanaan Pelayaran Niaga,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Engineering|Technology,none,standard,S03995,72,,73,,68,81,70,79,79,68,,,76,61,,76,,,several strong subjects,,56,84,78,,82,IPS,synthetic_v2,Ilmu Terapan,Logistik,Ketatalaksanaan Pelayaran Niaga,P0217,research-focused
social/human,False,public service|helping people,theory-heavy,Kurikulum Merdeka,apti_dataset_v2,,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Engineering|Technology,none,standard,S03996,74,91,71,,93,83,83,84,71,79,96,76,88,85,,78,,,several strong subjects,,100,75,86,,100,IPS,synthetic_v2,Ilmu Terapan,Ilmu atau Sains Komunikasi,Komunikasi Penyiaran Islam,P0235,lab work
social/human,True,stable career|public service,practical/project-heavy,K13 Bahasa,apti_dataset_v2,,Software Engineer Backend Developer,engineering|hands_on|tech_software|technology_digital,Business|Engineering|Social|Technology,none,standard,S03997,88,78,84,,100,89,65,68,87,93,78,75,75,76,,81,,,balanced,,70,77,69,,73,IPA,synthetic_v2,Ilmu Terapan,"Bioteknologi, Biokewirausahaan, Bioinformatika",Rekayasa Hayati,P0448,independent
science/lab,False,stable career|high salary potential,theory-heavy,K13 IPS,apti_dataset_v2,Psikologi,HR Specialist Counselor Assistant,communication_media|education|helping_people|social_law_public|social_psychology,Media|Psychology,none,standard,S03998,66,70,57,,58,74,57,74,71,61,71,,70,,,84,,,several strong subjects,,61,62,75,,67,IPS,synthetic_v2,Ilmu Sosial,Psikologi,Psikologi,P0081,teamwork
science/lab,False,research/innovation|stable career,field-heavy,Kurikulum Merdeka,apti_dataset_v2,,Analyst Public Officer,communication_media|education|social_law_public,Media,none,standard,S03999,54,70,79,,71,74,82,,70,65,72,,76,71,,97,,,several strong subjects,,77,62,73,,71,Merdeka,synthetic_v2,Ilmu Sosial,Ekonomi,Ekonomi,P0066,independent
science/lab,False,public service|remote/digital work,practical/project-heavy,K13 IPS,apti_dataset_v2,,Legal Officer Advocate,engineering|hands_on|social_law|technology_digital|writing_reading,Engineering|Law|Technology,none,standard,S04000,80,78,82,,74,78,80,70,74,77,90,91,78,,,78,,,several strong subjects,,71,72,78,,68,Bahasa,synthetic_v2,Ilmu Terapan,Hukum,Ilmu Hukum,P0390,teamwork
numbers/calculation,True,remote/digital work|high salary potential,field-heavy,K13 Bahasa,apti_dataset_v2,,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Education|Engineering|Technology,none,balanced_high,S04001,86,,87,,100,78,92,83,88,81,98,88,95,85,,85,,,balanced,,,95,84,,87,IPA,synthetic_v2,Ilmu Terapan,Peternakan,Nutrisi dan Teknologi Pakan,P0164,research-focused
balanced,True,stable career|remote/digital work,practical/project-heavy,K13 IPA,apti_dataset_v2,,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Design|Engineering|Technology,none,standard,S04002,73,95,64,,81,79,68,67,68,70,66,77,80,80,,75,,,balanced,,68,66,70,,69,IPA,synthetic_v2,Ilmu Terapan,Kehutanan,Teknologi Hasil Hutan,P0344,field work
creative/art,False,public service|remote/digital work,balanced,K13 Bahasa,apti_dataset_v2,,Research Assistant Lab Analyst,environment_field|health_life_science|research_analysis,Environment|Health,none,standard,S04003,67,,90,,,72,82,85,70,75,74,,82,78,,81,,,several strong subjects,,,67,66,,91,Bahasa,synthetic_v2,Ilmu Alam,Biologi,Biodiversitas,P0111,lab work
creative/art,True,helping people|public service,theory-heavy,K13 IPS,apti_dataset_v2,,Data Analyst Quantitative Analyst,data_ai|numbers_logic|technology_digital,Business|Design|Technology,none,standard,S04004,,76,67,,,79,78,84,85,83,76,,86,67,,93,,,balanced,,76,77,65,,84,IPS,synthetic_v2,Ilmu Formal,Matematika,Matematika Bisnis,P0144,field work
science/lab,False,helping people|public service,lab-heavy,K13 Bahasa,apti_dataset_v2,,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Engineering|Technology,none,standard,S04005,86,90,78,,84,77,89,,77,82,,84,74,80,,89,,,several strong subjects,,77,80,83,,86,IPA,synthetic_v2,Ilmu Terapan,Kehutanan,Konservasi Sumber Daya Hutan,P0345,teamwork
language/writing,True,stable career|high salary potential,practical/project-heavy,K13 IPA,apti_dataset_v2,,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Design|Engineering|Technology,none,standard,S04006,87,89,87,,91,,94,93,88,75,69,78,71,99,,86,,,balanced,,80,75,85,,88,IPS,synthetic_v2,Ilmu Terapan,Studi Humanitas,Misiologi,P0486,research-focused
language/writing,False,research/innovation|stable career,field-heavy,K13 IPS,apti_dataset_v2,,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Engineering|Technology,none,focused_average,S04007,65,,73,,80,77,70,89,61,77,,75,69,,,82,,,several strong subjects,,71,79,66,,75,Bahasa,synthetic_v2,Ilmu Terapan,Arsitektur,Arsitektur,P0173,lab work
creative/art,False,stable career|public service,balanced,Kurikulum Merdeka,apti_dataset_v2,,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Engineering|Technology,none,standard,S04008,,,75,,76,65,78,67,78,61,66,72,74,,73,76,70,,several strong subjects,80,71,86,71,,75,IPS,synthetic_v2,Ilmu Terapan,Ilmu atau Sains Keolahragaan,Ilmu Keolahragaan,P0409,teamwork
science/lab,False,high salary potential|research/innovation,practical/project-heavy,K13 Bahasa,apti_dataset_v2,,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Engineering|Technology,none,standard,S04009,81,81,100,,92,69,90,,74,87,79,100,86,78,100,87,90,,several strong subjects,77,74,91,98,,74,IPA,synthetic_v2,Ilmu Terapan,Ilmu atau Sains Keolahragaan,Ilmu Keolahragaan,P0409,teamwork
balanced,False,public service|helping people,field-heavy,Kurikulum Merdeka,apti_dataset_v2,,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Engineering|Technology,none,standard,S04010,77,79,83,,,82,79,65,77,,66,82,69,60,,78,,,several strong subjects,,76,86,75,,91,Merdeka,synthetic_v2,Ilmu Terapan,Ilmu atau Sains Militer,Ilmu Militer,P0397,lab work
numbers/calculation,True,public service|high salary potential,balanced,Kurikulum Merdeka,apti_dataset_v2,,Apoteker Clinical Pharmacist,engineering|hands_on|health_lab|health_pharmacy|technology_digital,Business|Engineering|Health|Social|Technology,none,standard,S04011,93,76,67,,,100,65,74,76,58,,81,79,81,,87,,,balanced,,77,84,77,,,IPS,synthetic_v2,Ilmu Terapan,Ilmu Farmasi,Teknologi Farmasi,P0355,field work
numbers/calculation,False,research/innovation|high salary potential,practical/project-heavy,K13 IPS,apti_dataset_v2,,Tourism Planner Hotel Manager,communication_media|engineering|hands_on|technology_digital|tourism_hospitality,Engineering|Media|Technology|Tourism,none,balanced_high,S04012,95,97,90,88,87,92,81,,99,100,73,63,83,77,,80,,,several strong subjects,,94,85,78,85,90,IPA,synthetic_v2,Ilmu Terapan,Pariwisata,Manajemen Kuliner,P0425,field work
creative/art,False,high salary potential|helping people,theory-heavy,Kurikulum Merdeka,apti_dataset_v2,,Software Engineer Backend Developer,engineering|hands_on|tech_software|technology_digital,Engineering|Technology,none,standard,S04013,,66,75,,,73,76,,81,75,76,74,72,73,,87,,,several strong subjects,,67,70,59,,65,Bahasa,synthetic_v2,Ilmu Terapan,Informatika Medis atau Informatika Kesehatan,Informatika Kesehatan,P0458,research-focused
science/lab,False,remote/digital work|research/innovation,lab-heavy,K13 IPS,apti_dataset_v2,Psikologi Pendidikan,HR Specialist Counselor Assistant,communication_media|education|education_teaching|helping_people|social_law_public|social_psychology,Education|Media|Psychology,none,standard,S04014,75,91,81,,87,99,81,,74,79,80,,77,97,,90,,,several strong subjects,,89,69,88,,87,Merdeka,synthetic_v2,Ilmu Sosial,Psikologi,Psikologi Pendidikan,P0083,teamwork
creative/art,False,stable career|helping people,field-heavy,K13 IPA,apti_dataset_v2,Akuntansi Sektor Publik,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Engineering|Technology,none,standard,S04015,80,85,72,,84,66,72,72,71,67,69,75,81,77,,80,,,several strong subjects,,74,85,74,,77,Merdeka,synthetic_v2,Ilmu Terapan,Ilmu atau Sains Akuntansi,Akuntansi Sektor Publik,P0192,lab work
language/writing,False,stable career|research/innovation,balanced,K13 IPS,apti_dataset_v2,,Research Assistant Lab Analyst,environment_field|health_life_science|research_analysis,Environment|Health,none,focused_average,S04016,72,,65,,83,,66,69,71,77,67,73,67,70,,70,,,several strong subjects,,82,90,78,,81,IPA,synthetic_v2,Ilmu Alam,Astronomi,Astronomi,P0117,independent
social/human,False,public service|high salary potential,practical/project-heavy,K13 IPS,apti_dataset_v2,,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Engineering|Technology,none,standard,S04017,79,82,70,,,80,83,66,92,73,86,88,87,77,,83,,,several strong subjects,,73,78,73,,77,IPA,synthetic_v2,Ilmu Terapan,Kehutanan,Kehutanan,P0341,research-focused
science/lab,False,research/innovation|high salary potential,practical/project-heavy,K13 IPS,apti_dataset_v2,,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Engineering|Technology,none,standard,S04018,75,88,86,,95,77,86,89,69,87,85,78,67,77,,67,,,several strong subjects,,76,79,89,,97,Bahasa,synthetic_v2,Ilmu Terapan,Kebidanan,Kebidanan,P0367,teamwork
social/human,False,helping people|stable career,field-heavy,K13 IPS,apti_dataset_v2,,Ahli Gizi Nutritionist,engineering|hands_on|health_nutrition|helping_people|technology_digital,Engineering|Technology,none,standard,S04019,75,,82,,100,98,87,76,99,84,83,,75,89,,74,,,several strong subjects,,76,74,93,,,IPA,synthetic_v2,Ilmu Terapan,Ilmu atau Sains Gizi,Gizi Klinik,P0357,field work
creative/art,False,research/innovation|remote/digital work,balanced,Kurikulum Merdeka,apti_dataset_v2,,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Engineering|Technology,none,standard,S04020,80,82,93,,,92,86,94,80,81,76,76,86,88,,86,,,several strong subjects,,,76,70,,76,IPA,synthetic_v2,Ilmu Terapan,Administrasi Bisnis,Administrasi Bisnis,P0218,independent
numbers/calculation,False,public service|research/innovation,lab-heavy,K13 IPA,apti_dataset_v2,,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Engineering|Technology,none,focused_average,S04021,80,,71,,83,80,65,87,69,73,,,69,76,,100,,,several strong subjects,,,67,71,,73,IPA,synthetic_v2,Ilmu Terapan,Logistik,Logistik,P0212,lab work
numbers/calculation,False,public service|helping people,lab-heavy,K13 IPS,apti_dataset_v2,,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Engineering|Technology,none,standard,S04022,,91,82,,,86,74,85,94,89,83,81,100,,,85,,,several strong subjects,,99,85,83,,84,Bahasa,synthetic_v2,Ilmu Terapan,Transportasi,Transportasi Udara,P0434,independent
social/human,True,remote/digital work|stable career,practical/project-heavy,K13 IPA,apti_dataset_v2,Antropologi,Analyst Public Officer,communication_media|education|social_law_public,Business|Media|Technology,none,standard,S04023,93,87,71,,74,82,57,92,86,76,82,94,90,,,77,,,balanced,,71,76,70,,87,Bahasa,synthetic_v2,Ilmu Sosial,Sosial,Antropologi,P0058,field work
